,Country,City name,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
66,LY,Awjilah,29.11,21.29,100,289.85,284.62,289.85,289.85,5.96,47,1018
67,NE,Say,13.1,2.37,78,307.15,305.55,307.15,307.15,2.57,24,1007
68,GB,Margate,51.38,1.39,0,282.69,281.64,285.37,280.15,1,93,1024
69,NZ,Kaitangata,-46.28,169.85,100,288.15,286.64,288.15,288.15,1.34,61,993
70,IR,Bāfq,31.61,55.41,95,283,278.7,283,283,3.12,47,1021
71,CA,Yellowknife,62.46,-114.35,75,270.73,265.17,271.15,269.82,3.1,36,1024
72,ZA,Richards Bay,-28.78,32.04,98,292.29,293.88,292.29,292.29,0.46,81,1027
73,RU,Berdigestyakh,62.1,126.7,99,272.25,268.6,272.25,272.25,2.04,94,1029
74,US,Broome,42.25,-75.83,1,281.68,279.05,283.15,279.82,1.5,66,1003
75,US,Saint Anthony,45.02,-93.22,40,281.26,270.73,282.59,279.82,10.8,29,1010
76,MX,Cabo San Lucas,22.89,-109.91,90,296.68,292.7,299.26,292.04,8.7,64,1017
77,IS,Vestmannaeyjar,63.44,-20.27,52,276.13,272.74,276.13,276.13,1.8,75,1026
78,ES,Santa Cruz de Tenerife,28.47,-16.25,14,291.61,288.31,294.82,289.15,4.1,51,1023
79,TL,Airai,-8.93,125.41,95,292.66,293.03,292.66,292.66,0.26,61,1012
80,JP,Muroto-misakicho,33.28,134.15,2,288.15,285.58,288.15,288.15,1,38,1018
81,JP,Katsuura,35.13,140.3,40,288.18,285.3,289.82,287.04,4.1,71,1017
82,US,Sitka,57.05,-135.33,75,278,271.85,278.15,277.15,6.2,77,1013
83,PF,Tautira,-17.73,-149.15,92,305.15,306.85,305.15,305.15,5.7,62,1012
84,US,College,64.86,-147.8,75,271.91,265.7,273.15,271.15,4.1,36,1011
85,QA,Doha,25.29,51.53,0,300.24,297.21,301.48,297.15,6.2,45,1007
86,RU,Gornopravdinsk,60.05,69.9,100,269.29,262.58,269.29,269.29,5.97,97,1001
87,AU,Alice Springs,-23.7,133.88,75,293.15,291.45,293.15,293.15,2.1,49,1023
88,BR,Vila Velha,-20.33,-40.29,90,295.74,297.41,296.15,295.37,2.6,83,1015
89,CN,Xinmin,41.99,122.83,0,276.15,273.3,276.15,276.15,1,74,1026
90,JP,Sukumo,32.93,132.73,61,289.04,285.89,289.04,289.04,2.44,43,1019
91,RU,Nikolskoye,59.7,30.79,100,279.41,274.04,280.15,278.71,5,68,1011
92,CA,Torbay,47.67,-52.73,75,270.53,264.52,271.48,269.82,4.6,73,1004
93,KI,Butaritari,3.07,172.79,73,301.92,303.34,301.92,301.92,6.74,78,1011
94,RU,Belozërskoye,55.82,65.58,89,268.27,261.96,268.27,268.27,5.17,93,1015
95,ZA,Cape Town,-33.93,18.42,2,285.33,284.77,287.59,283.15,0.5,81,1015
