,Country,City name,Date,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
110,KM,Mitsamiouli,1586462615,-11.38,43.28,0,302.04,303.38,302.04,302.04,6.59,76,1012
111,BR,Itamaracá,1586462798,-7.75,-34.83,20,303.15,306.75,303.15,303.15,3.1,70,1009
112,GB,Atherton,1586462798,53.52,-2.49,100,285.23,282.94,288.71,282.04,2.6,76,1025
113,US,Barrow,1586462798,71.29,-156.79,1,251.15,243.87,251.15,251.15,5.1,83,1019
114,CA,Baie-Comeau,1586462617,49.22,-68.15,1,276.11,270.96,278.15,275.15,4.1,69,998
115,CD,Goma,1586462799,-1.68,29.22,59,291.04,289.76,291.04,291.04,0.93,50,1015
116,CA,Burns Lake,1586462799,54.23,-125.75,100,280.38,275.56,280.38,280.38,3.85,56,1016
117,MX,San Patricio,1586462800,19.22,-104.7,5,300.15,302.31,300.15,300.15,5.1,83,1012
118,ML,Tessalit,1586462800,20.2,1.01,99,303.17,298.13,303.17,303.17,3.48,10,1008
119,NA,Outjo,1586462800,-20.12,16.15,16,290.15,289.94,290.15,290.15,2.6,88,1022
120,NA,Grootfontein,1586462800,-19.57,18.12,6,291.6,289.23,291.6,291.6,2.37,47,1017
121,RU,Vostok,1586462504,46.49,135.88,0,268.51,265.17,268.51,268.51,0.71,81,1021
122,CV,São Filipe,1586462801,14.9,-24.5,0,297.76,297.76,297.76,297.76,3.89,66,1013
123,US,La Crosse,1586462759,43.8,-91.24,75,277.54,267.4,280.15,274.82,10.3,39,1010
124,IT,Syracuse,1586462801,37.09,15.28,4,284.46,282.89,286.15,281.48,1,71,1022
125,ML,Kangaba,1586462802,11.93,-8.42,49,306.79,305.11,306.79,306.79,1.83,21,1008
126,KZ,Beyneu,1586462802,45.32,55.2,0,279.73,272.67,279.73,279.73,7.03,58,1027
127,CA,Aklavik,1586462802,68.22,-135.01,20,262.71,258.61,263.15,261.15,1,66,1023
128,US,Fortuna,1586462802,40.6,-124.16,1,287.82,285.11,290.93,285.15,4.6,82,1017
129,AU,Hervey Bay,1586462802,-25.3,152.85,75,292.89,293.41,293.15,292.15,3.6,93,1018
130,AU,Hobart,1586462639,-42.88,147.33,83,285.73,281.33,288.15,283.15,5.1,66,1012
131,PF,Faanui,1586462803,-16.48,-151.75,96,301.4,304.07,301.4,301.4,4.53,78,1014
132,CA,Sioux Lookout,1586462707,50.1,-91.92,90,272.97,264.37,273.15,272.15,8.7,75,1010
133,US,Alamogordo,1586462733,32.9,-105.96,75,291.13,285.12,297.15,284.82,5.1,23,1017
134,CN,Zhangjiakou,1586462803,40.81,114.88,96,275.94,272,275.94,275.94,1.81,54,1030
135,CL,Lebu,1586462804,-37.62,-73.65,40,288.1,285.92,288.1,288.1,3,70,1016
136,US,Hamilton,1586462804,39.18,-84.53,20,285.39,277.48,287.15,283.15,7.2,24,1007
137,AR,Rawson,1586462804,-43.3,-65.1,0,296.81,286.84,296.81,296.81,13.47,36,1011
138,AU,Yulara,1586462804,-25.24,130.99,21,287.15,284.15,287.15,287.15,2.1,47,1020
139,US,Makakilo City,1586462805,21.35,-158.09,1,297.2,299.78,298.15,295.15,2.28,83,1016
140,ML,Gao,1586462695,16.64,1.64,46,303.41,299.31,303.41,303.41,2.16,10,1007
141,CA,Hay River,1586462805,60.82,-115.8,90,271.15,263.96,271.15,271.15,6.7,86,1008
142,RU,Cherskiy,1586462805,68.75,161.3,99,252.07,245.93,252.07,252.07,3.55,91,1025
143,US,Saint George,1586462806,37.1,-113.58,75,283.4,279.64,285.15,279.26,2.6,50,1020
144,LY,Bani Walid,1586462806,31.76,13.99,0,286.76,282.05,286.76,286.76,4.39,46,1023
145,ID,Sorong,1586462701,-0.88,131.25,27,298.12,301.16,298.12,298.12,2.28,83,1012
146,TM,Murgab,1586462806,37.5,61.97,40,280.15,276.29,280.15,280.15,3.1,70,1026
147,UA,Osypenko,1586462806,46.91,36.83,0,280.37,277.57,280.37,280.37,0.83,53,1012
148,VU,Sola,1586462807,-13.88,167.55,66,299.96,299.59,299.96,299.96,8.24,81,1013
149,MX,Alvarado,1586462807,18.77,-95.77,75,305.58,308.58,305.93,305.15,5.1,66,1010
150,MR,Atar,1586462807,20.52,-13.05,0,303.11,297.93,303.11,303.11,4.07,12,1011
151,AU,Victor Harbor,1586462807,-35.57,138.62,40,286.18,283.61,286.48,285.37,4.1,87,1018
152,RU,Ust'-Omchug,1586462598,61.15,149.63,0,258.19,254.27,258.19,258.19,0.61,81,1028
153,GL,Tasiilaq,1586462808,65.61,-37.64,99,272.15,265.66,272.15,272.15,4.6,39,1025
154,US,Jamestown,1586462668,42.1,-79.24,90,277.25,267.69,280.37,275.37,10.8,74,997
155,CV,Praia,1586462642,14.92,-23.51,0,302.15,297.98,302.15,302.15,7.2,37,1012
156,AU,Alyangula,1586462809,-13.85,136.42,40,297.15,301.92,297.15,297.15,1.5,100,1011
157,CK,Avarua,1586462809,-21.21,-159.78,100,302.15,306.66,302.15,302.15,4.6,89,1011
158,CA,Tuktoyaktuk,1586462809,69.45,-133.04,75,256.15,249.73,256.15,256.15,4.1,84,1022
159,US,Albertville,1586462809,34.27,-86.21,1,293.98,289.6,295.93,291.48,4.6,35,1011
160,PE,Pisco,1586462810,-13.7,-76.22,19,296.22,291.02,297.59,295.15,5.7,30,1010
161,SB,Kirakira,1586462810,-10.45,161.92,7,300.35,303.73,300.35,300.35,2.34,76,1012
162,RU,Mirny,1586462810,62.54,113.96,0,275.15,270.68,275.15,275.15,2,40,1017
163,CN,Beidao,1586462810,34.57,105.89,93,285.69,282.87,285.69,285.69,1.6,48,1013
164,PK,Renala Khurd,1586462810,30.88,73.6,76,295.49,292.83,295.49,295.49,3.42,42,1009
